full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
"BID ITEM: Provide all labor, materials and equipment for ornamental steel railing and balusters for interior and exterior metal railings. per project specification Section 05 50 00. Steel to be shop-primed with rust-inhibitive primer.",05,50,05 50,bid item provide labor material equipment ornamental steel railing baluster interior exterior metal railing project specification section steel shop prim rust inhibitive primer,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
RE: Structural Metal Framing – Subcontractor bid for steel braced frame lateral system. Location: for mezzanine floor framing. All connections per AISC standards and structural drawings.,05,10,05 10,structural metal framing subcontractor bid steel brace frame lateral system location mezzanine floor frame connection aisc standard structural drawing,category_stage1_02,category_stage2_002,category_stage1_02__category_stage2_002
Material submittal for air-cooled scroll chiller 100-ton capacity. Unit to be high-efficiency with minimum 14 SEER rating. Refer to per ASHRAE 90.1 minimum efficiency requirements.,23,60,23 60,material submittal air cool scroll chiller ton capacity unit high efficiency minimum seer rating refer ashrae minimum efficiency requirement,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
Request for approval: steam-to-hot-water heat exchanger for use for warehouse and loading dock space heating. Controls integrated with building automation system (BAS). per AHRI certified heating capacity ratings.,23,70,23 70,request approval steam hot water heat exchanger use warehouse load dock space heating control integrate building automation system bas ahri certify heating capacity rating,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
"Provide all labor, materials and equipment for curtain wall window system unitized for hospital patient room exterior windows. per approved window schedule and shop drawings. U-factor 0.30 maximum, SHGC 0.25 maximum per energy code.",08,50,08 50,provide labor material equipment curtain wall window system unitized hospital patient room exterior window approve window schedule shop drawing u factor maximum shgc maximum energy code,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Scope of work includes installation of insulating concrete forms (ICF) for foundation walls and footings. Allow for three reuses of formwork panels.,03,10,03 10,scope work include installation insulate concrete form icf foundation wall footing allow reuse formwork panel,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
"Provide all labor, materials and equipment for acoustic sound-rated door assemblies STC 45 for interior and exterior door openings per door schedule. conforming to SDI (Steel Door Institute) standards. Frames to be set and grouted plumb and square.",08,10,08 10,provide labor material equipment acoustic sound rat door assembly stc interior exterior door opening door schedule conform sdi steel door institute standard frame set grout plumb square,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
Request for approval: impact-resistant hurricane windows for use for residential tower window replacement. Color: clear anodized aluminum or custom RAL color. per approved window schedule and shop drawings.,08,50,08 50,request approval impact resistant hurricane window use residential tower window replacement color clear anodized aluminum custom ral color approve window schedule shop drawing,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Proposal for placement and finishing of fiber-reinforced concrete (FRC) for slab on grade for slab-on-grade in warehouse area. Portland cement Type I/II with 3/4 inch maximum aggregate.,03,30,03 30,proposal placement finishing fiber reinforce concrete frc slab grade slab grade warehouse area portland cement type ii inch maximum aggregate,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Request for approval: kitchen exhaust hood and duct system for use for rooftop air handling unit connections. Duct leakage testing per SMACNA Class A seal requirement. per ASHRAE 90.1 duct insulation requirements.,23,30,23 30,request approval kitchen exhaust hood duct system use rooftop air handling unit connection duct leakage testing smacna class seal requirement ashrae duct insulation requirement,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
Proposal for furnishing and installing of rigid XPS foam insulation board 2-inch thick for roof insulation above deck. R-value verified by third-party testing per ASTM C518.,07,20,07 20,proposal furnish installing rigid xps foam insulation board inch thick roof insulation deck r value verify party testing astm c,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
"Subject: Material Submittal – Quotation for luxury vinyl plank (LVP) flooring click-lock system for lobby, corridors and common areas. Transition strips at all flooring material changes. per manufacturer installation instructions.",09,60,09 60,subject material submittal quotation luxury vinyl plank lvp floor click lock system lobby corridor common area transition strip floor material change manufacturer installation instruction,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
"RE: Concrete Reinforcing – This submittal covers the supply and installation of stainless steel reinforcement for corrosive environments for parking structure post-tensioned slabs. All work to comply with in accordance with Section 03 20 00. Minimum concrete cover 3 inches for footings, 1.5 inches for slabs.",03,20,03 20,concrete reinforce submittal cover supply installation stainless steel reinforcement corrosive environment parking structure post tensioned slab work comply accordance section minimum concrete cover inch footing inch slab,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
